label,text
1,"This is the police department. Your identity is under investigation. Do not hang up."
1,"This is the prosecutor's office. A warrant has been issued. You must cooperate immediately."
1,"IRS notice: unpaid taxes detected. Confirm your SSN and bank details to avoid arrest."
1,"Bank security alert: suspicious transfer detected. Verify your account now to prevent freeze."
1,"Financial regulator message: your account is linked to fraud. Transfer funds to a safe account now."
1,"Police: your phone number was used in a crime. Provide your full name and address immediately."
1,"Prosecutor: your bank account will be seized today unless you confirm your identity."
1,"IRS: final warning. Pay immediately or a collection officer will be dispatched."
1,"Bank fraud unit: we need your OTP code to stop unauthorized charges right now."
1,"Your account will be frozen within 30 minutes. Call this number to verify ownership."
1,"Law enforcement: confidential case. Do not tell anyone. Follow instructions exactly."
1,"This is the court clerk. Your case file requires a security deposit by today."
1,"Police investigation: move your savings to a temporary holding account to protect it."
1,"Bank security: confirm your PIN to cancel a fraudulent wire transfer."
1,"Government agency: emergency benefits verification required. Submit your bank login details."
1,"This is Interpol. Your passport is flagged. Send verification payment to clear your record."
1,"Prosecutor: we are recording this call. Transfer funds now to avoid detention."
1,"IRS: verify your identity with a photo of your ID and your bank routing number."
1,"Bank alert: your debit card will be disabled unless you confirm the verification code."
1,"Police: your account is suspected of money laundering. You must cooperate immediately."
1,"Security team: we detected an unusual login. Share the code we sent to your phone."
1,"Your checking account is compromised. Transfer your balance to this safe account."
1,"This is the bank. You must update your account information to avoid permanent suspension."
1,"Tax authority: we will issue a warrant today. Pay the outstanding amount immediately."
1,"Police: there is a confidential investigation. You are not allowed to contact your family."
1,"Prosecutor: submit your bank statement and card number to proceed with verification."
1,"Bank compliance: your account violates regulations. Send funds to compliance review account."
1,"IRS: confirm your social security number to avoid criminal charges."
1,"You must pay a bond now to prevent arrest. Use this account number for the deposit."
1,"Bank verification required: reply with your OTP to confirm you're the rightful owner."
1,"Police: we will come to your home. Confirm your address and transfer history now."
1,"Prosecutor's office: your phone is tapped. Stay on the line and follow instructions."
1,"Tax office: your refund is blocked. Verify your bank login details to release it."
1,"Bank fraud: your money is at risk. Move it immediately to a protected account."
1,"Law enforcement: this is urgent. You have 10 minutes to comply."
1,"Bank security: do not hang up. Read the code to confirm the cancellation request."
1,"Government investigator: your name is associated with illegal activity. Verify your identity now."
1,"Police: you must prove innocence by transferring funds to an escrow account."
1,"Bank: your account will be closed today. Confirm your identity with your password."
1,"IRS: immediate payment required. Provide your card number and security code."
1,"Prosecutor: a subpoena has been issued. Send your bank information to avoid charges."
1,"Bank compliance: send a verification transfer to confirm ownership of your account."
1,"Police: this is a secure line. Do not disclose. Provide your banking app verification code."
1,"Tax authority: your case is escalated. Pay now or face legal action."
1,"Security: suspicious activity detected. Confirm your details including DOB and SSN."
1,"Bank fraud: to stop a transfer, you must share your one-time passcode."
1,"Prosecutor: your account will be monitored. Transfer funds to the designated safe account."
1,"IRS: your account is under audit. Verify your identity by sending ID photo and bank info."
1,"Police: you have been reported. Confirm your banking transactions immediately."
1,"Bank: your account is blocked. Click verification link and enter your credentials."
1,"Government hotline: urgent verification. Provide your bank routing and account number."
1,"Police: failure to comply will result in arrest. Transfer the requested amount now."
1,"Prosecutor: pay the investigation fee today to close your case."
1,"Bank security: we need your login to reverse fraudulent charges."
1,"IRS: this is your last notice. Submit verification code now."
1,"Bank: your account is at risk. Move funds to this temporary safe account now."
0,"Hey are we still meeting at 6 tonight?"
0,"Can you send me the notes from class when you get a chance?"
0,"I'm outside your place. Let me know when you're ready."
0,"Don't forget to pick up milk on your way home."
0,"Happy birthday! Hope you have an amazing day."
0,"What time is your flight tomorrow?"
0,"Thanks again for your help earlier!"
0,"Can you call me when you're free?"
0,"I'll be 10 minutes late, sorry!"
0,"Are you okay? Just checking in."
0,"Here’s the address for the restaurant: 123 Main St."
0,"Do you want to study together this weekend?"
0,"Let’s reschedule to next week."
0,"Please email me the document when you can."
0,"Did you watch the game last night?"
0,"I'm sending the payment through the usual app now."
0,"Can you confirm the meeting room number?"
0,"I'll bring snacks."
0,"See you soon."
0,"Thanks!"
0,"Are you free to chat later?"
0,"Just landed. On my way."
0,"Can you review my resume quickly?"
0,"Let’s do a quick call at 2pm."
0,"Don’t worry about it."
0,"What’s your ETA?"
0,"Made it home safe."
0,"Good morning! How did you sleep?"
0,"Can you forward that email?"
0,"I'll send you the link to the form."
0,"Let's grab coffee tomorrow."
0,"Do you want anything from the store?"
0,"I'm in a meeting right now."
0,"Call me after class."
0,"We’re still on for Friday, right?"
0,"Can you pick a time that works for you?"
0,"Just finished my assignment."
0,"I'll text you when I'm done."
0,"Thanks for letting me know."
0,"No problem!"
